R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
3162277660.168384,1.0,0.0003266607787540102,0.0003024171753380345
3981071705.534988,1.0,0.00029149696925208785,0.00026988913411126435
5011872336.272755,1.0,0.00026008381866630265,0.00024082525749050262
6309573444.801974,1.0,0.00023202832864830858,0.00021486367402701113
7943282347.24286,1.0,0.0002069772383630388,0.0001916788706523717
10000000000.0,1.0,0.0001846133028968517,0.00017097833738032134
1e-10,10.0,0.07661768445432228,-0.07648277596556734
1.2589254117941602e-10,10.0,0.07663398969476604,-0.07648262050094885
1.584893192461103e-10,10.0,0.07665228431505872,-0.07648244606697216
1.995262314968867e-10,10.0,0.07667281101472882,-0.07648225034907585
2.51188643150957e-10,10.0,0.07669584209637524,-0.0764820307502923
3.162277660168375e-10,10.0,0.07672168307500461,-0.07648178435679229
3.981071705534963e-10,10.0,0.07675067672705473,-0.07648150789922631
5.011872336272719e-10,10.0,0.07678320763256558,-0.07648119770934984
6.309573444801887e-10,10.0,0.07681970727043821,-0.07648084967135764
7.943282347242791e-10,10.0,0.07686065973397155,-0.07648045916728133
9.999999999999972e-10,10.0,0.07690660814199163,-0.07648002101572725
1.2589254117941625e-09,10.0,0.07695816182997905,-0.07647952940314114
1.5848931924611111e-09,10.0,0.07701600441578109,-0.07647897780669019
1.9952623149688807e-09,10.0,0.0770809028458811,-0.07647835890773903
2.5118864315095745e-09,10.0,0.07715371754093885,-0.07647766449477411
3.1622776601683787e-09,10.0,0.07723541377355757,-0.0764768853544896
3.9810717055349615e-09,10.0,0.07732707442715471,-0.07647601114959286
5.01187233627272e-09,10.0,0.07742991430259566,-0.0764750302817108
6.309573444801932e-09,10.0,0.07754529615910477,-0.07647392973758216
7.943282347242797e-09,10.0,0.07767474869812159,-0.07647269491649952
1e-08,10.0,0.07781998672347153,-0.07647130943671877
1.2589254117941638e-08,10.0,0.07798293373873602,-0.07646975491827383
1.584893192461112e-08,10.0,0.0781657472733392,-0.07646801073932588
1.995262314968881e-08,10.0,0.07837084726292327,-0.07646605376282689
2.5118864315095768e-08,10.0,0.07860094784740611,-0.07646385802988528
3.162277660168379e-08,10.0,0.07885909299206521,-0.0764613944157873
3.981071705534961e-08,10.0,0.07914869638343888,-0.07645863024413302
5.01187233627272e-08,10.0,0.07947358610318588,-0.076455528854001
6.309573444801938e-08,10.0,0.07983805463968129,-0.07645204911443686
7.943282347242805e-08,10.0,0.08024691485946578,-0.07644814487987618
9.999999999999998e-08,10.0,0.08070556262907404,-0.07644376437933832
1.2589254117941638e-07,10.0,0.0812200468526162,-0.07643884953136863
1.5848931924611122e-07,10.0,0.08179714777205731,-0.07643333517573887
1.9952623149688814e-07,10.0,0.08244446446566464,-0.07642714821184236
2.511886431509577e-07,10.0,0.08317051257563764,-0.07642020663250998
3.162277660168379e-07,10.0,0.08398483339843703,-0.07641241844063275
3.9810717055349634e-07,10.0,0.08489811558043238,-0.07640368043447096
5.01187233627272e-07,10.0,0.08592233077654157,-0.0763938768458572
6.30957344480194e-07,10.0,0.08707088474943336,-0.0763828778136303
7.943282347242806e-07,10.0,0.08835878550993051,-0.0763705376725599
1e-06,10.0,0.08980283022306022,-0.07635669303570464
1.2589254117941676e-06,10.0,0.09142181272537053,-0.07634116064557955
1.5848931924611126e-06,10.0,0.09323675361304569,-0.07632373496664765
1.9952623149688766e-06,10.0,0.0952711549608801,-0.07630418548849664
2.5118864315095768e-06,10.0,0.09755128181117113,-0.07628225370555568
3.1622776601683788e-06,10.0,0.10010647261858989,-0.07625764973535147
3.981071705534973e-06,10.0,0.10296948083853415,-0.07623004853304795
5.011872336272719e-06,10.0,0.10617684978520325,-0.07619908565534506
6.3095734448019305e-06,10.0,0.10976932274000557,-0.07616435252170406
7.943282347242806e-06,10.0,0.11379229003389847,-0.07612539111529543
1e-05,10.0,0.11829627442546586,-0.07608168806002763
1.2589254117941675e-05,10.0,0.12333745550901229,-0.07603266800349731
1.5848931924611124e-05,10.0,0.1289782330640819,-0.07597768622873306
1.9952623149688786e-05,10.0,0.13528782814003762,-0.075916020410204
2.5118864315095768e-05,10.0,0.14234291918620431,-0.07584686142181038
3.1622776601683795e-05,10.0,0.15022830860730763,-0.0757693030965603
3.9810717055349735e-05,10.0,0.15903761265123628,-0.07568233082952967
5.01187233627272e-05,10.0,0.16887396441571292,-0.07558480890772501
6.309573444801929e-05,10.0,0.17985071587690024,-0.07547546644295389
7.943282347242806e-05,10.0,0.19209212007514204,-0.0753528817771954
0.0001,10.0,0.20573396882069708,-0.07521546522487271
0.00012589254117941672,10.0,0.22092415439642915,-0.075061440013681
0.00015848931924611128,10.0,0.23782311565257266,-0.0748888212863138
0.00019952623149688788,10.0,0.25660411957673473,-0.07469539303100248
0.0002511886431509577,10.0,0.27745331892365727,-0.07447868282112567
0.00031622776601683794,10.0,0.30056951496310125,-0.07423593426570402
0.0003981071705534973,10.0,0.3261635421730322,-0.07396407710651022
0.000501187233627272,10.0,0.35445717931147325,-0.07365969494779474
0.000630957344480193,10.0,0.3856814795694523,-0.07331899067628266
0.0007943282347242807,10.0,0.42007440261266205,-0.07293774972839709
0.001,10.0,0.4578776248387716,-0.07251130149628257
0.0012589254117941675,10.0,0.49933240312841776,-0.07203447934337268
0.0015848931924611121,10.0,0.5446743742007728,-0.07150157993485046
0.0019952623149688785,10.0,0.5941271892058794,-0.07090632289081784
0.0025118864315095773,10.0,0.6478949143840612,-0.07024181215394844
0.0031622776601683794,10.0,0.7061531763640745,-0.06950050094290923
0.003981071705534973,10.0,0.7690390972436442,-0.06867416275096123
0.00501187233627272,10.0,0.8366401510950323,-0.06775387155564368
0.006309573444801929,10.0,0.9089821791306488,-0.06672999523316933
0.007943282347242805,10.0,0.9860169219018848,-0.06559220711093795
0.01,10.0,1.067609556637685,-0.06432952161510062
0.012589254117941663,10.0,1.153526855413149,-0.0629303610208311
0.01584893192461114,10.0,1.2434266908836145,-0.06138266129510694
0.019952623149688785,10.0,1.3368496937182577,-0.05967402578852817
0.02511886431509577,10.0,1.4332138916448494,-0.05779193587535859
0.03162277660168379,10.0,1.5318131180842376,-0.05572402728321181
0.03981071705534969,10.0,1.6318198578675258,-0.05345843945604436
0.05011872336272724,10.0,1.7322929962873168,-0.050984242476208266
0.06309573444801929,10.0,1.8321906647728876,-0.048291941461983526
0.07943282347242805,10.0,1.93038805299347,-0.04537405167799065
